Time,Type,Status
28.75011669619731,3,0
197.2718667757874,3,1
143.9719737180486,4,1
146.547501479103,3,1
285.09241855004313,2,0
213.49720954934233,2,0
329.86454753396754,4,0
314.07983048309325,3,0
52.2129640750799,2,1
15.453278780317978,2,1
140.27753344358325,1,1
50.57828112401711,1,0
54.89444539447915,2,0
36.742757730585566,3,0
12.746396244569706,2,0
80.10655528398263,1,1
206.68119166704017,3,1
90.98014349203714,2,0
246.22341794578836,2,1
2.827408099464044,4,1
155.78096341477726,2,1
348.68022847628674,2,0
184.94480270486494,4,1
442.8092016432435,1,1
186.30686164205724,2,0
91.16446293569888,3,0
109.68884972159529,4,0
15.859407762383936,4,0
20.657489629686495,4,0
1002.1680717352139,4,0
512.9208880363661,1,1
136.0688963724794,4,0
66.45957286497325,4,0
601.008508206529,1,1
236.21858649262202,1,1
61.6177313473928,2,0
135.86504510531623,3,0
44.567097106261926,2,0
211.44615147891486,3,0
307.6978849827716,3,0
395.00319332923976,1,1
110.619593058647,4,0
43.9741763833246,2,1
126.35491358354385,2,0
8.404383741765354,2,1
27.639268788918564,3,0
152.69620275718046,1,0
72.33675111306773,4,0
114.92467285296868,2,1
43.239108141594706,3,0
290.03007783265963,4,1
62.208794519109425,2,1
6.708569407779362,3,1
150.49245243539667,2,0
627.4374976449061,4,0
30.25083854984648,3,0
166.18059754500388,3,0
9.529430652048445,2,1
22.95636795371229,4,1
21.639305094852897,1,0
292.58758207847876,1,1
21.948905799038528,1,0
154.87109725395322,1,1
116.39591897680448,2,0
499.61468526752196,1,1
99.53469121887794,4,1
143.93797123598367,2,1
68.99467256373877,1,1
394.98819693229996,4,1
54.13561780175493,1,1
90.41386709715555,2,0
52.72128820587759,3,1
85.42534847737791,3,1
113.25219194994473,4,1
503.73221789764574,1,1
90.73917710312084,3,0
244.6101208044991,1,1
95.59580102617169,1,1
3.01913218388034,1,1
202.6576224326079,2,1
199.94725926550132,3,0
51.20909347683682,4,0
29.834784541881326,3,0
28.29277810752592,4,0
580.7413796535171,2,1
32.71432752506872,1,1
37.129074505380316,1,1
119.24396183837662,3,1
56.74430797745571,2,0
3.732779444544345,1,1
8.328489204018641,3,1
201.73084095623577,2,1
